title,brand,primary_category,primary_subcategory,media_type,form_factor,capacity_display,capacity_gb,interfaces,connectors,read_mbps,write_mbps,rpm,bays,raid_levels,rugged,ip_rating,drop_m,encryption,bus_powered,warranty_years,workflows,price_usd,completeness,needs_review,url
Jupio BatMem Battery and Memory Card Case,Jupio,Camera Media,Other Cards,memory_card,card,,,,,,,,,,False,,,,,,On-Set Capture,19.95,0.46,True,https://www.filmtools.com/jupio-batmem-battery-and-memory-card-case.html
RED 1.3TB PRO CFexpress Memory Card,RED,Camera Media,CFexpress,memory_card,card,1.3 TB,1300,CFexpress Type B,,800,,,,,False,,,,,,On-Set Capture,1499.99,0.89,False,https://www.filmtools.com/red-pro-cfexpress-memory-card-1-3tb.html
Glyph 4TB Technologies Atom EV USB 3.2 Gen 2 Type-C External SSD,Glyph,Drives,Solid-State Drives (SSD),ssd,rugged_portable,4 TB,4000,Thunderbolt 3; USB 3.2 Gen 2; USB 3.0; SATA,USB-C; USB-A,,,,,,True,,,,True,,Edit Fast; Offload & Ingest; On-Set Capture,799.99,0.84,False,https://www.filmtools.com/glyph-technologies-4tb-atom-ev-usb-3-2-gen-2-type-c-external-ssd.html
Exascend 1TB Archon CFexpress 2.0 Type-B Card,Exascend,Camera Media,CFexpress,memory_card,card,1 TB,1000,CFexpress Type B,,1700,1600,,,,True,,,,,,On-Set Capture,1199.99,0.89,False,https://www.filmtools.com/exascend-archon-1tb-cfexpress-2-0-type-b-card.html
"OWC 120GB Mercury Electra 6G 2.5"" Internal Solid-State Drive",OWC,Drives,Solid-State Drives (SSD),ssd,portable,120 GB,120,SATA,,506,,,,,False,,,,True,3,Offload & Ingest,26.99,0.84,False,https://www.filmtools.com/owc-120gb-mercury-electra-6g-2-5-inch-7mm-sata-6-0gb-s-solid-state-drive.html
Lexar 512GB Professional 1800x UHS-II SDXC Memory Card (GOLD Series),Lexar,Camera Media,SD / microSD,memory_card,card,512 GB,512,SDXC UHS-II,,270,180,,,,False,,,,,10,On-Set Capture,299.99,0.89,False,https://www.filmtools.com/lexar-512gb-professional-1800x-uhs-ii-sdxc-memory-card-gold-series.html
OWC 10 Port Thunderbolt 3 Pro Dock,OWC,Readers & Docks,Docks & Hubs,dock,accessory,10 GB,10,Thunderbolt 3; USB 3.2 Gen 2; USB 3.1; Ethernet; CFexpress Type B,USB-C; USB-A,,,,,,False,,,,,,Offload & Ingest; Team & Network,379.99,0.8,False,https://www.filmtools.com/owc-10-port-thunderbolt-3-pro-dock.html
SanDisk 128GB Extreme PRO UHS-I SDXC Memory Card,Sandisk,Camera Media,SD / microSD,memory_card,card,128 GB,128,,,200,90,,,,True,,,,,2,On-Set Capture,49.99,0.68,False,https://www.filmtools.com/sandisk-128gb-extreme-pro-uhs-i-sdxc-memory-card.html
SanDisk 512GB Extreme PRO UHS-I SDXC Memory Card,SanDisk Professional,Camera Media,SD / microSD,memory_card,card,512 GB,512,,,200,140,,,,True,,,,,2,On-Set Capture,149.99,0.68,False,https://www.filmtools.com/sandisk-512gb-extreme-pro-uhs-i-sdxc-memory-card.html
Lexar 160GB Professional CFexpress Type A Card GOLD Series,Lexar,Camera Media,CFexpress,memory_card,card,160 GB,160,CFexpress Type A,,900,800,,,,True,,,,,10,On-Set Capture,399.99,0.89,False,https://www.filmtools.com/lexar-160gb-professional-cfexpress-type-a-card-gold-series.html
SanDisk 128GB Extreme UHS-I microSDXC Memory Card with SD Adapter,Sandisk,Camera Media,SD / microSD,memory_card,card,128 GB,128,,,190,90,,,,True,,,,,,On-Set Capture,37.99,0.68,False,https://www.filmtools.com/sandisk-128gb-extreme-uhs-i-microsdxc-memory-card-with-sd-adapter.html
SanDisk 256GB Extreme PRO UHS-I SDXC Memory Card,Sandisk,Camera Media,SD / microSD,memory_card,card,256 GB,256,,,100,90,,,,True,,,,,2,On-Set Capture,189.99,0.68,False,https://www.filmtools.com/sandisk-256gb-extreme-pro-uhs-i-sdxc-memory-card.html
